icd_code	label	definition	synonym	grouped_synonym
ICD10CM:I51.7	Cardiomegaly		Cardiac dilatation	Cardiac dilatation, Cardiac hypertrophy, Cardiomegaly, Ventricular dilatation
ICD10CM:F43.25	Adjustment disorder with mixed disturbance of emotions and conduct		Adjustment disorder with mixed disturbance of emotions and conduct	Adjustment disorder with mixed disturbance of emotions and conduct
ICD10CM:M21.42	Flat foot [pes planus] (acquired), left foot		Flat foot [pes planus] (acquired), left foot	Flat foot [pes planus] (acquired), left foot
ICD10CM:F69	Unspecified disorder of adult personality and behavior		Unspecified disorder of adult personality and behavior	Unspecified disorder of adult personality and behavior
ICD10CM:R62.50	Unspecified lack of expected normal physiological development in childhood		Infantilism NOS	Infantilism NOS, Unspecified lack of expected normal physiological development in childhood
ICD10CM:Z87.09	Personal history of other diseases of the respiratory system		Personal history of other diseases of the respiratory system	Personal history of other diseases of the respiratory system
ICD10CM:I10	Essential (primary) hypertension		Essential (primary) hypertension	Essential (primary) hypertension, high blood pressure, hypertension, hypertension (arterial) (benign) (essential) (malignant) (primary) (systemic)
ICD10CM:Q21.11				
ICD10CM:N36.44	Muscular disorders of urethra		Bladder sphincter dyssynergy	Bladder sphincter dyssynergy, Muscular disorders of urethra
ICD10CM:K43.2	Incisional hernia without obstruction or gangrene		Incisional hernia NOS	Incisional hernia NOS, Incisional hernia without obstruction or gangrene
ICD10CM:R56.9	Unspecified convulsions		Convulsion disorder	Convulsion disorder, Fit NOS, Recurrent convulsions, Seizure(s) (convulsive) NOS, Unspecified convulsions
ICD10CM:M53.2X1	Spinal instabilities, occipito-atlanto-axial region		Spinal instabilities, occipito-atlanto-axial region	Spinal instabilities, occipito-atlanto-axial region
ICD10CM:L97.222	Non-pressure chronic ulcer of left calf with fat layer exposed		Non-pressure chronic ulcer of left calf with fat layer exposed	Non-pressure chronic ulcer of left calf with fat layer exposed
ICD10CM:K59.09	Other constipation		Chronic constipation	Chronic constipation, Other constipation
ICD10CM:E66.01	Morbid (severe) obesity due to excess calories		Morbid (severe) obesity due to excess calories	Morbid (severe) obesity due to excess calories
ICD10CM:H04.553	Acquired stenosis of bilateral nasolacrimal duct		Acquired stenosis of bilateral nasolacrimal duct	Acquired stenosis of bilateral nasolacrimal duct
ICD10CM:I45.6	Pre-excitation syndrome		Accelerated atrioventricular conduction	Accelerated atrioventricular conduction, Accessory atrioventricular conduction, Anomalous atrioventricular excitation, Lown-Ganong-Levine syndrome, Pre-excitation atrioventricular conduction, Pre-excitation syndrome, Wolff-Parkinson-White syndrome
ICD10CM:R13.19	Other dysphagia		Cervical dysphagia	Cervical dysphagia, Neurogenic dysphagia, Other dysphagia
ICD10CM:I45.2	Bifascicular block		Bifascicular block	Bifascicular block
ICD10CM:Z97.5	Presence of (intrauterine) contraceptive device		Presence of (intrauterine) contraceptive device	Presence of (intrauterine) contraceptive device
ICD10CM:E03.8	Other specified hypothyroidism		Other specified hypothyroidism	Other specified hypothyroidism
ICD10CM:L20.9	Atopic dermatitis, unspecified		Atopic dermatitis, unspecified	Atopic dermatitis, unspecified
ICD10CM:H52.13	Myopia, bilateral		Myopia, bilateral	Myopia, bilateral
ICD10CM:Z29.8	Encounter for other specified prophylactic measures		Encounter for other specified prophylactic measures	Encounter for other specified prophylactic measures
ICD10CM:Q25.47	Right aortic arch		Persistent right aortic arch	Persistent right aortic arch, Right aortic arch
ICD10CM:F41.9	Anxiety disorder, unspecified		Anxiety NOS	Anxiety NOS, Anxiety disorder, unspecified
ICD10CM:Z78.9	Other specified health status		Other specified health status	Other specified health status
ICD10CM:R55	Syncope and collapse		Blackout	Blackout, Fainting, Syncope and collapse, Vasovagal attack
ICD10CM:Z86.718	Personal history of other venous thrombosis and embolism		Personal history of other venous thrombosis and embolism	Personal history of other venous thrombosis and embolism
ICD10CM:B99.9	Unspecified infectious disease		Unspecified infectious disease	Unspecified infectious disease
ICD10CM:R62.52	Short stature (child)		Lack of growth	Lack of growth, Physical retardation, Short stature (child), Short stature NOS, short stature
ICD10CM:E11.65	Type 2 diabetes mellitus with hyperglycemia		Type 2 diabetes mellitus with hyperglycemia	Type 2 diabetes mellitus with hyperglycemia
ICD10CM:Q21.23				
ICD10CM:R00.1	Bradycardia, unspecified		Bradycardia, unspecified	Bradycardia, unspecified, Sinoatrial bradycardia, Sinus bradycardia, Slow heart beat, Vagal bradycardia
ICD10CM:Z91.89	Other specified personal risk factors, not elsewhere classified		Other specified personal risk factors, not elsewhere classified	Other specified personal risk factors, not elsewhere classified
ICD10CM:E66.9	Obesity, unspecified		Obesity NOS	Obesity NOS, Obesity, unspecified
ICD10CM:I50.32	Chronic diastolic (congestive) heart failure		Chronic diastolic (congestive) heart failure	Chronic diastolic (congestive) heart failure
ICD10CM:J45.909	Unspecified asthma, uncomplicated		Asthma NOS	Asthma NOS, Unspecified asthma, uncomplicated
ICD10CM:K21.9	Gastro-esophageal reflux disease without esophagitis		Esophageal reflux NOS	Esophageal reflux NOS, Gastro-esophageal reflux disease without esophagitis
ICD10CM:C43.59	Malignant melanoma of other part of trunk		Malignant melanoma of other part of trunk	Malignant melanoma of other part of trunk
ICD10CM:Z95.2	Presence of prosthetic heart valve		Presence of heart valve NOS	Presence of heart valve NOS, Presence of prosthetic heart valve
ICD10CM:M62.81	Muscle weakness (generalized)		Muscle weakness (generalized)	Muscle weakness (generalized), muscle weakness
ICD10CM:R46.81	Obsessive-compulsive behavior		Obsessive-compulsive behavior	Obsessive-compulsive behavior
ICD10CM:F43.29	Adjustment disorder with other symptoms		Adjustment disorder with other symptoms	Adjustment disorder with other symptoms
ICD10CM:G40.909	Epilepsy, unspecified, not intractable, without status epilepticus		Epilepsy NOS	Epilepsy NOS, Epilepsy, unspecified, not intractable, without status epilepticus, Epileptic convulsions NOS, Epileptic fits NOS, Epileptic seizures NOS, Recurrent seizures NOS, Seizure disorder NOS
ICD10CM:E66.3	Overweight		Overweight	Overweight
ICD10CM:M54.2	Cervicalgia		Cervicalgia	Cervicalgia
ICD10CM:Q53.10	Unspecified undescended testicle, unilateral		Unspecified undescended testicle, unilateral	Unspecified undescended testicle, unilateral
ICD10CM:I50.21	Acute systolic (congestive) heart failure		Acute systolic (congestive) heart failure	Acute systolic (congestive) heart failure
ICD10CM:R13.12	Dysphagia, oropharyngeal phase		Dysphagia, oropharyngeal phase	Dysphagia, oropharyngeal phase
ICD10CM:R41.3	Other amnesia		Amnesia NOS	Amnesia NOS, Memory loss NOS, Other amnesia
ICD10CM:L03.90	Cellulitis, unspecified		Cellulitis, unspecified	Cellulitis, unspecified
ICD10CM:M08.3	Juvenile rheumatoid polyarthritis (seronegative)		Juvenile rheumatoid polyarthritis (seronegative)	Juvenile rheumatoid polyarthritis (seronegative), juvenile rheumatoid polyarthritis
ICD10CM:R53.81	Other malaise		Chronic debility	Chronic debility, Debility NOS, General physical deterioration, Malaise NOS, Nervous debility, Other malaise
ICD10CM:E03.1	Congenital hypothyroidism without goiter		Aplasia of thyroid (with myxedema)	Aplasia of thyroid (with myxedema), Congenital atrophy of thyroid, Congenital hypothyroidism NOS, Congenital hypothyroidism without goiter, aplasia of thyroid
ICD10CM:N18.4	Chronic kidney disease, stage 4 (severe)		Chronic kidney disease, stage 4 (severe)	Chronic kidney disease, stage 4 (severe), chronic kidney disease, stage 4
ICD10CM:Z86.19	Personal history of other infectious and parasitic diseases		Personal history of other infectious and parasitic diseases	Personal history of other infectious and parasitic diseases
ICD10CM:H73.13	Chronic myringitis, bilateral		Chronic myringitis, bilateral	Chronic myringitis, bilateral
ICD10CM:Y95	Nosocomial condition		Nosocomial condition	Nosocomial condition
ICD10CM:M81.8	Other osteoporosis without current pathological fracture		Drug-induced osteoporosis without current pathological fracture	Drug-induced osteoporosis without current pathological fracture, Idiopathic osteoporosis without current pathological fracture, Osteoporosis of disuse without current pathological fracture, Other osteoporosis without current pathological fracture, Post-traumatic osteoporosis without current pathological fracture, Postoophorectomy osteoporosis without current pathological fracture, Postsurgical malabsorption osteoporosis without current pathological fracture
ICD10CM:H10.10	Acute atopic conjunctivitis, unspecified eye		Acute atopic conjunctivitis, unspecified eye	Acute atopic conjunctivitis, unspecified eye
ICD10CM:R46.89	Other symptoms and signs involving appearance and behavior		Other symptoms and signs involving appearance and behavior	Other symptoms and signs involving appearance and behavior
ICD10CM:R10.2	Pelvic and perineal pain		Pelvic and perineal pain	Pelvic and perineal pain
ICD10CM:Z00.00	Encounter for general adult medical examination without abnormal findings		Encounter for adult health check-up NOS	Encounter for adult health check-up NOS, Encounter for general adult medical examination without abnormal findings
ICD10CM:D51.0	Vitamin B12 deficiency anemia due to intrinsic factor deficiency		Addison anemia	Addison anemia, Biermer anemia, Congenital intrinsic factor deficiency, Pernicious (congenital) anemia, Vitamin B12 deficiency anemia due to intrinsic factor deficiency
ICD10CM:Z71.89	Other specified counseling		Other specified counseling	Other specified counseling
ICD10CM:F79	Unspecified intellectual disabilities		Mental deficiency NOS	Mental deficiency NOS, Mental subnormality NOS, Unspecified intellectual disabilities
ICD10CM:S42.461A	Displaced fracture of medial condyle of right humerus, initial encounter for closed fracture		Displaced fracture of medial condyle of right humerus, initial encounter for closed fracture	Displaced fracture of medial condyle of right humerus, initial encounter for closed fracture
ICD10CM:L73.9	Follicular disorder, unspecified		Follicular disorder, unspecified	Follicular disorder, unspecified
ICD10CM:G31.84	Mild cognitive impairment, so stated		Mild cognitive impairment, so stated	Mild cognitive impairment, so stated, Mild neurocognitive disorder
ICD10CM:H31.002	Unspecified chorioretinal scars, left eye		Unspecified chorioretinal scars, left eye	Unspecified chorioretinal scars, left eye
ICD10CM:J32.9	Chronic sinusitis, unspecified		Chronic sinusitis, unspecified	Chronic sinusitis, unspecified, Sinusitis (chronic) NOS
ICD10CM:E10.65	Type 1 diabetes mellitus with hyperglycemia		Type 1 diabetes mellitus with hyperglycemia	Type 1 diabetes mellitus with hyperglycemia
ICD10CM:J30.9	Allergic rhinitis, unspecified		Allergic rhinitis, unspecified	Allergic rhinitis, unspecified
ICD10CM:Z76.89	Persons encountering health services in other specified circumstances		Persons encountering health services NOS	Persons encountering health services NOS, Persons encountering health services in other specified circumstances
ICD10CM:E29.1	Testicular hypofunction		5-delta-Reductase deficiency (with male pseudohermaphroditism)	5-delta-Reductase deficiency (with male pseudohermaphroditism), 5-delta-reductase deficiency, Defective biosynthesis of testicular androgen NOS, Testicular hypofunction, Testicular hypogonadism NOS
ICD10CM:I82.409	Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity		Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity	Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity
ICD10CM:Z20.822	Contact with and (suspected) exposure to COVID-19		Contact with and (suspected) exposure to COVID-19	Contact with and (suspected) exposure to COVID-19, Contact with and (suspected) exposure to SARS-CoV-2
ICD10CM:H60.513	Acute actinic otitis externa, bilateral		Acute actinic otitis externa, bilateral	Acute actinic otitis externa, bilateral
ICD10CM:H66.40	Suppurative otitis media, unspecified, unspecified ear		Suppurative otitis media, unspecified, unspecified ear	Suppurative otitis media, unspecified, unspecified ear
ICD10CM:H66.012	Acute suppurative otitis media with spontaneous rupture of ear drum, left ear		Acute suppurative otitis media with spontaneous rupture of ear drum, left ear	Acute suppurative otitis media with spontaneous rupture of ear drum, left ear
ICD10CM:L21.9	Seborrheic dermatitis, unspecified		Seborrhea NOS	Seborrhea NOS, Seborrheic dermatitis, unspecified
ICD10CM:H68.133	Extrinsic cartilagenous obstruction of Eustachian tube, bilateral		Extrinsic cartilagenous obstruction of Eustachian tube, bilateral	Extrinsic cartilagenous obstruction of Eustachian tube, bilateral
ICD10CM:Q21.21				
ICD10CM:Q24.4	Congenital subaortic stenosis		Congenital subaortic stenosis	Congenital subaortic stenosis
ICD10CM:H66.90	Otitis media, unspecified, unspecified ear		Otitis media, unspecified, unspecified ear	Otitis media, unspecified, unspecified ear
ICD10CM:D53.9	Nutritional anemia, unspecified		Nutritional anemia, unspecified	Nutritional anemia, unspecified, Simple chronic anemia
ICD10CM:H90.6	Mixed conductive and sensorineural hearing loss, bilateral		Mixed conductive and sensorineural hearing loss, bilateral	Mixed conductive and sensorineural hearing loss, bilateral
ICD10CM:Q24.9	Congenital malformation of heart, unspecified		Congenital anomaly of heart	Congenital anomaly of heart, Congenital disease of heart, Congenital malformation of heart, unspecified
ICD10CM:R06.83	Snoring		Snoring	Snoring
ICD10CM:E05.00	Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm		Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm	Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm
ICD10CM:F33.42	Major depressive disorder, recurrent, in full remission		Major depressive disorder, recurrent, in full remission	Major depressive disorder, recurrent, in full remission
ICD10CM:J30.1	Allergic rhinitis due to pollen		Allergic rhinitis due to pollen	Allergic rhinitis due to pollen, Allergy NOS due to pollen, Hay fever, Pollinosis
ICD10CM:M43.12	Spondylolisthesis, cervical region		Spondylolisthesis, cervical region	Spondylolisthesis, cervical region
ICD10CM:N12	Tubulo-interstitial nephritis, not specified as acute or chronic		Interstitial nephritis NOS	Interstitial nephritis NOS, Pyelitis NOS, Pyelonephritis NOS, Tubulo-interstitial nephritis, not specified as acute or chronic
ICD10CM:R06.6	Hiccough		Hiccough	Hiccough
ICD10CM:H66.003	Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral		Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral	Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral
ICD10CM:M1A.0710	Idiopathic chronic gout, right ankle and foot, without tophus (tophi)		Idiopathic chronic gout, right ankle and foot, without tophus (tophi)	Idiopathic chronic gout, right ankle and foot, without tophus (tophi), idiopathic chronic gout, right ankle and foot, without tophus
ICD10CM:R78.81	Bacteremia		Bacteremia	Bacteremia
ICD10CM:Z99.89	Dependence on other enabling machines and devices		Dependence on machine or device NOS	Dependence on machine or device NOS, Dependence on other enabling machines and devices
ICD10CM:F41.8	Other specified anxiety disorders		Anxiety depression (mild or not persistent)	Anxiety depression (mild or not persistent), Anxiety hysteria, Mixed anxiety and depressive disorder, Other specified anxiety disorders, anxiety depression
ICD10CM:L65.9	Nonscarring hair loss, unspecified		Alopecia NOS	Alopecia NOS, Nonscarring hair loss, unspecified
ICD10CM:Z86.79	Personal history of other diseases of the circulatory system		Personal history of other diseases of the circulatory system	Personal history of other diseases of the circulatory system
ICD10CM:A49.8	Other bacterial infections of unspecified site		Other bacterial infections of unspecified site	Other bacterial infections of unspecified site
ICD10CM:J45.20	Mild intermittent asthma, uncomplicated		Mild intermittent asthma NOS	Mild intermittent asthma NOS, Mild intermittent asthma, uncomplicated
ICD10CM:K76.0	Fatty (change of) liver, not elsewhere classified		Fatty (change of) liver, not elsewhere classified	Fatty (change of) liver, not elsewhere classified, Nonalcoholic fatty liver disease (NAFLD), nonalcoholic fatty liver disease
ICD10CM:Z87.74	Personal history of (corrected) congenital malformations of heart and circulatory system		Personal history of (corrected) congenital malformations of heart and circulatory system	Personal history of (corrected) congenital malformations of heart and circulatory system
ICD10CM:F32.A	Depression, unspecified		Depression NOS	Depression NOS, Depression, unspecified, Depressive disorder NOS
ICD10CM:H90.5	Unspecified sensorineural hearing loss		Central hearing loss NOS	Central hearing loss NOS, Congenital deafness NOS, Neural hearing loss NOS, Perceptive hearing loss NOS, Sensorineural deafness NOS, Sensory hearing loss NOS, Unspecified sensorineural hearing loss
ICD10CM:G47.30	Sleep apnea, unspecified		Sleep apnea NOS	Sleep apnea NOS, Sleep apnea, unspecified
ICD10CM:F99	Mental disorder, not otherwise specified		Mental disorder, not otherwise specified	Mental disorder, not otherwise specified, Mental illness NOS
ICD10CM:T82.868A	Thrombosis due to vascular prosthetic devices, implants and grafts, initial encounter		Thrombosis due to vascular prosthetic devices, implants and grafts, initial encounter	Thrombosis due to vascular prosthetic devices, implants and grafts, initial encounter
ICD10CM:H55.00	Unspecified nystagmus		Unspecified nystagmus	Unspecified nystagmus
ICD10CM:E10.9	Type 1 diabetes mellitus without complications		Type 1 diabetes mellitus without complications	Type 1 diabetes mellitus without complications
ICD10CM:Z98.890	Other specified postprocedural states		Other specified postprocedural states	Other specified postprocedural states, Personal history of surgery, not elsewhere classified
ICD10CM:G30.0	Alzheimer's disease with early onset		Alzheimer's disease with early onset	Alzheimer's disease with early onset
ICD10CM:T14.91XA	Suicide attempt, initial encounter		Suicide attempt, initial encounter	Suicide attempt, initial encounter
ICD10CM:E11.29	Type 2 diabetes mellitus with other diabetic kidney complication		Type 2 diabetes mellitus with other diabetic kidney complication	Type 2 diabetes mellitus with other diabetic kidney complication, Type 2 diabetes mellitus with renal tubular degeneration
ICD10CM:F42.9	Obsessive-compulsive disorder, unspecified		Obsessive-compulsive disorder, unspecified	Obsessive-compulsive disorder, unspecified
ICD10CM:Q21.2	Atrioventricular septal defect		Atrioventricular septal defect	Atrioventricular septal defect, Common atrioventricular canal, Endocardial cushion defect, Ostium primum atrial septal defect (type I), ostium primum atrial septal defect
ICD10CM:Z12.9	Encounter for screening for malignant neoplasm, site unspecified		Encounter for screening for malignant neoplasm, site unspecified	Encounter for screening for malignant neoplasm, site unspecified
ICD10CM:H50.00	Unspecified esotropia		Unspecified esotropia	Unspecified esotropia
ICD10CM:J81.0	Acute pulmonary edema		Acute edema of lung	Acute edema of lung, Acute pulmonary edema
ICD10CM:F42.2	Mixed obsessional thoughts and acts		Mixed obsessional thoughts and acts	Mixed obsessional thoughts and acts
ICD10CM:C92.01	Acute myeloblastic leukemia, in remission		Acute myeloblastic leukemia, in remission	Acute myeloblastic leukemia, in remission
ICD10CM:G47.39	Other sleep apnea		Other sleep apnea	Other sleep apnea
ICD10CM:H52.00	Hypermetropia, unspecified eye		Hypermetropia, unspecified eye	Hypermetropia, unspecified eye
ICD10CM:R80.8	Other proteinuria		Other proteinuria	Other proteinuria
ICD10CM:M46.92	Unspecified inflammatory spondylopathy, cervical region		Unspecified inflammatory spondylopathy, cervical region	Unspecified inflammatory spondylopathy, cervical region
ICD10CM:N93.9	Abnormal uterine and vaginal bleeding, unspecified		Abnormal uterine and vaginal bleeding, unspecified	Abnormal uterine and vaginal bleeding, unspecified
ICD10CM:Z87.738	Personal history of other specified (corrected) congenital malformations of digestive system		Personal history of other specified (corrected) congenital malformations of digestive system	Personal history of other specified (corrected) congenital malformations of digestive system
ICD10CM:Z82.49	Family history of ischemic heart disease and other diseases of the circulatory system		Family history of ischemic heart disease and other diseases of the circulatory system	Family history of ischemic heart disease and other diseases of the circulatory system
ICD10CM:R60.9	Edema, unspecified		Edema, unspecified	Edema, unspecified, Fluid retention NOS
ICD10CM:M89.9	Disorder of bone, unspecified		Disorder of bone, unspecified	Disorder of bone, unspecified
ICD10CM:N64.89	Other specified disorders of breast		Galactocele	Galactocele, Other specified disorders of breast, Subinvolution of breast (postlactational), subinvolution of breast
ICD10CM:H60.91	Unspecified otitis externa, right ear		Unspecified otitis externa, right ear	Unspecified otitis externa, right ear
ICD10CM:I95.9	Hypotension, unspecified		Hypotension, unspecified	Hypotension, unspecified
ICD10CM:Y92.009	Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause		Home (NOS) as the place of occurrence of the external cause	Home (NOS) as the place of occurrence of the external cause, Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
ICD10CM:W19.XXXA	Unspecified fall, initial encounter		Unspecified fall, initial encounter	Unspecified fall, initial encounter
ICD10CM:I83.93	Asymptomatic varicose veins of bilateral lower extremities		Asymptomatic varicose veins of bilateral lower extremities	Asymptomatic varicose veins of bilateral lower extremities
ICD10CM:Z86.73	Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits		Personal history of prolonged reversible ischemic neurological deficit (PRIND)	Personal history of prolonged reversible ischemic neurological deficit (PRIND), Personal history of stroke NOS without residual deficits, Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits, personal history of prolonged reversible ischemic neurological deficit
ICD10CM:Z79.4	Long term (current) use of insulin		Long term (current) use of insulin	Long term (current) use of insulin
ICD10CM:L25.9	Unspecified contact dermatitis, unspecified cause		Contact dermatitis (occupational) NOS	Contact dermatitis (occupational) NOS, Contact eczema (occupational) NOS, Unspecified contact dermatitis, unspecified cause
ICD10CM:R14.0	Abdominal distension (gaseous)		Abdominal distension (gaseous)	Abdominal distension (gaseous), Bloating, Tympanites (abdominal) (intestinal), abdominal distension, tympanites
ICD10CM:E83.9	Disorder of mineral metabolism, unspecified		Disorder of mineral metabolism, unspecified	Disorder of mineral metabolism, unspecified
ICD10CM:E89.40	Asymptomatic postprocedural ovarian failure		Asymptomatic postprocedural ovarian failure	Asymptomatic postprocedural ovarian failure, Postprocedural ovarian failure NOS
ICD10CM:S92.212A	Displaced fracture of cuboid bone of left foot, initial encounter for closed fracture		Displaced fracture of cuboid bone of left foot, initial encounter for closed fracture	Displaced fracture of cuboid bone of left foot, initial encounter for closed fracture
ICD10CM:L71.9	Rosacea, unspecified		Rosacea, unspecified	Rosacea, unspecified
ICD10CM:I35.1	Nonrheumatic aortic (valve) insufficiency		Nonrheumatic aortic (valve) incompetence NOS	Nonrheumatic aortic (valve) incompetence NOS, Nonrheumatic aortic (valve) insufficiency, Nonrheumatic aortic (valve) regurgitation NOS
ICD10CM:K90.9	Intestinal malabsorption, unspecified		Intestinal malabsorption, unspecified	Intestinal malabsorption, unspecified
ICD10CM:I63.411	Cerebral infarction due to embolism of right middle cerebral artery		Cerebral infarction due to embolism of right middle cerebral artery	Cerebral infarction due to embolism of right middle cerebral artery
ICD10CM:Z68.36	Body mass index [BMI] 36.0-36.9, adult		Body mass index [BMI] 36.0-36.9, adult	Body mass index [BMI] 36.0-36.9, adult
ICD10CM:I83.893	Varicose veins of bilateral lower extremities with other complications		Varicose veins of bilateral lower extremities with other complications	Varicose veins of bilateral lower extremities with other complications
ICD10CM:H69.83	Other specified disorders of Eustachian tube, bilateral		Other specified disorders of Eustachian tube, bilateral	Other specified disorders of Eustachian tube, bilateral
ICD10CM:N30.00	Acute cystitis without hematuria		Acute cystitis without hematuria	Acute cystitis without hematuria
ICD10CM:E53.8	Deficiency of other specified B group vitamins		Biotin deficiency	Biotin deficiency, Cyanocobalamin deficiency, Deficiency of other specified B group vitamins, Folate deficiency, Folic acid deficiency, Pantothenic acid deficiency, Vitamin B12 deficiency
ICD10CM:M85.89	Other specified disorders of bone density and structure, multiple sites		Other specified disorders of bone density and structure, multiple sites	Other specified disorders of bone density and structure, multiple sites
ICD10CM:B96.20	Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere		Escherichia coli [E. coli] NOS	Escherichia coli [E. coli] NOS, Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere
ICD10CM:E04.1	Nontoxic single thyroid nodule		Colloid nodule (cystic) (thyroid)	Colloid nodule (cystic) (thyroid), Nontoxic single thyroid nodule, Nontoxic uninodular goiter, Thyroid (cystic) nodule NOS, colloid nodule
ICD10CM:E78.01	Familial hypercholesterolemia		Familial hypercholesterolemia	Familial hypercholesterolemia
ICD10CM:R94.6	Abnormal results of thyroid function studies		Abnormal results of thyroid function studies	Abnormal results of thyroid function studies
ICD10CM:H52.219	Irregular astigmatism, unspecified eye		Irregular astigmatism, unspecified eye	Irregular astigmatism, unspecified eye
ICD10CM:L85.8	Other specified epidermal thickening		Cutaneous horn	Cutaneous horn, Other specified epidermal thickening
ICD10CM:L20.82	Flexural eczema		Flexural eczema	Flexural eczema
ICD10CM:I38	Endocarditis, valve unspecified		Endocarditis, valve unspecified	Endocarditis, valve unspecified, endocarditis (chronic) NOS, valvular incompetence NOS, valvular insufficiency NOS, valvular regurgitation NOS, valvular stenosis NOS, valvulitis (chronic) NOS
ICD10CM:H90.0	Conductive hearing loss, bilateral		Conductive hearing loss, bilateral	Conductive hearing loss, bilateral
ICD10CM:D75.1	Secondary polycythemia		Acquired polycythemia	Acquired polycythemia, Emotional polycythemia, Erythrocytosis NOS, Hypoxemic polycythemia, Nephrogenous polycythemia, Polycythemia NOS, Polycythemia due to erythropoietin, Polycythemia due to fall in plasma volume, Polycythemia due to high altitude, Polycythemia due to stress, Relative polycythemia, Secondary polycythemia
ICD10CM:R01.1	Cardiac murmur, unspecified		Cardiac bruit NOS	Cardiac bruit NOS, Cardiac murmur, unspecified, Heart murmur NOS, Systolic murmur NOS
